what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233523903551
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233523916478
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233523916768
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1233523918121
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233523921762
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233523921927
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1233523924876
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233523926018
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233523926022
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233523929290
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233523929305
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1233523931127
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233523934235
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233523934535
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233523936687
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233523936997
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233523938812
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233523939207
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1233523939708
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1233523995499
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1233523996349
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1233523999674
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233524001576
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233524035838
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.wordNext,1233524045371
