what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1233519037055
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1233519038492
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1233519038746
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233519045342
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233519045673
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233519047649
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233519047924
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233519050785
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233519051070
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1233519053299
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1233519055162
activated,view,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.views.ProblemView,1233519055516
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233519059680
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233519063257
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233519064820
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233519068938
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233519070142
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233519070207
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233519071080
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233519072235
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1233519072303
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1233519073207
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1233519075686
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.cut,1233519077439
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1233519078098
